b,h,h0,ah,l,fc,ft,fy1,As1,Vu
200,600,535,1.728971963,2000,35.17659444,3.062761321,452.5968694,1206.371579,303
200,500,455,2.087912088,2000,35.73485859,3.085306963,452.5968694,804.2477193,177
200,300,260,1.442307692,2250,34.07106801,3.017237183,550,942.4777961,211.35
101.6,203.2,171.45,0.52,635.508,42.4462517,3.319649854,413.7931034,253.3537395,135.664
101.6,203.2,171.45,0.52,635.508,51.80480758,3.553230285,413.7931034,253.3537395,142.336
200,400,368,2,3500,60.95231176,3.720894644,500,1472.621556,298.65344
200,400,366,2,3500,60.63643805,3.716044615,500,2463.00864,352.65728
200,400,362,2,3500,67.11777649,3.802293082,500,1407.433509,307.66496
110,500,462.5,0.810810811,1750,44.49172054,3.376499743,498.9,1256.637061,500.9075
110,500,462.5,1.081081081,2000,57.23252747,3.659560452,498.9,1256.637061,255.99
110,500,462.5,1.621621622,2500,57.23252747,3.659560452,498.9,1256.637061,186.155
203.2,457.2,403.86,1.509433962,1828.8,21.21710345,2.327256082,266.8965517,2451.805479,311.36
203.2,457.2,403.86,1.509433962,1828.8,19.19917241,2.202785465,266.8965517,2451.805479,309.136
203.2,457.2,403.86,1.509433962,1828.8,21.39006897,2.337671725,489.6551724,1520.122437,289.12
203.2,457.2,403.86,1.509433962,1828.8,22.08193103,2.378960326,465.5172414,1520.122437,311.36
203.2,457.2,403.86,1.509433962,1828.8,22.54317241,2.406163255,668.3955543,957.9938277,266.88
203.2,457.2,403.86,1.509433962,1828.8,18.73793103,2.173520408,686.2068966,593.7978271,221.0656
203.2,457.2,403.86,1.509433962,1828.8,22.31255172,2.392593422,686.2068966,593.7978271,222.4
127,254,215.9,0.926470588,431.8,37.30611807,3.147201566,420.6896552,570.045914,155.8364392
127,254,215.9,1.926470588,863.6,33.50068966,2.991895245,420.6896552,570.045914,56.8185732
127,254,215.9,0.926470588,431.8,68.86649499,3.820748114,420.6896552,570.045914,241.5938792
127,254,215.9,1.926470588,863.6,68.68037349,3.818882723,420.6896552,570.045914,101.7656132
250,400,360,0.9375,720,20.084064,2.258058559,420,1999.623724,425
250,400,360,0.9375,720,20.786304,2.301146791,420,1999.623724,396
250,400,360,0.9375,720,21.839664,2.36456957,420,1999.623724,437
127,254,203.2,4,2032,48.33517136,3.474370748,414,1013,58.3
127,254,203.2,3,1625.6,48.33517136,3.474370748,414,1013,69.34
127,254,203.2,2.7,1503.7,48.33517136,3.474370748,414,1013,69.31
127,254,208,4,2070.6,48.33517136,3.474370748,414,467,47.18
127,254,208,3,1654.6,48.33517136,3.474370748,414,467,49.33
127,254,201.7,4,2019.8,52.14895922,3.560580102,414,1289,51.68
127,254,201.7,3,1616.5,52.14895922,3.560580102,414,1289,69.34
127,254,201.7,2.7,1495.5,52.14895922,3.560580102,414,1289,100.45
127,254,208,4,2070.6,52.14895922,3.560580102,414,594,44.96
127,254,208,3,1654.6,52.14895922,3.560580102,414,594,47.1
127,254,208,2.7,1529.7,52.14895922,3.560580102,414,594,80.44
127,254,206.5,4,2058.4,50.51752917,3.524990643,414,855,45.85
127,254,206.5,3,1645.4,50.51752917,3.524990643,414,855,44.88
127,254,206.5,2.7,1521.5,50.51752917,3.524990643,414,855,45.74
76.2,146.1,127,2.5,1041.4,21.0408,2.316600037,366,253,26.97
76.2,146.1,127,3.4,1270,23.9272,2.486321905,366,253,17.4
76.2,146.1,127,3.4,1270,23.3112,2.45091003,366,143,14.42
76.2,146.1,127,4,1422.4,23.9272,2.486321905,366,253,14.71
76.2,146.1,127,4,1422.4,22.1936,2.385569575,366,143,13.89
76.2,146.1,127,4,1422.4,24.0152,2.491347089,366,253,16.99
76.2,146.1,127,4.5,1549.4,22.484,2.402687503,366,253,14.01
76.2,146.1,127,4.5,1549.4,21.2784,2.330951596,366,253,13.54
76.2,146.1,127,5.5,1803.4,24.7368,2.532245203,366,253,13.84
76.2,146.1,127,5.5,1803.4,21.9648,2.372011617,366,253,13.43
76.2,146.1,127,6.5,2057.4,26.5232,2.631243731,366,253,14.13
300,1000,925,2.88,5400,26.752,2.643703604,550,1400,167.86
300,1000,925,2.88,5400,17.556,2.097011862,550,2800,181.86
300,1000,925,2.88,5400,26.752,2.643703604,550,2800,187.86
300,1000,925,2.88,5400,31.768,2.905770116,550,2800,182.86
300,1000,925,2.88,5400,49.93251745,3.511762969,550,2800,187.86
300,1000,925,2.88,5400,58.54816249,3.682310348,550,2800,174.86
300,1000,895,2.97,5400,26.752,2.643703604,550,5600,259.86
1000,277.5,250,3.68,2500,22.80162133,2.421296495,543,1600,221.57
1000,284.3,250,3.68,2500,23.14939733,2.441538918,525,2280,226.11
1000,534.3,500,3.65,4750,20.548,2.286599366,525,2280,279.7
1000,535,500,3.65,4750,23.14939733,2.441538918,525,3260,342.51
1000,789,750,3.67,7000,25.3792,2.568204975,526,3140,432.64
2016,1005,916,2.91,5400,49.40765932,3.499683548,465,9800,1194.23
2016,1005,916,2.91,5400,49.68969393,3.506199482,465,9800,1287.84
250,469,437,2.89,2600,31.5216,2.893352596,465,1000,116.76
252,471,439,2.87,2600,32.1904,2.926956902,465,1000,113.67
1002,471,439,2.87,2600,32.604,2.94758141,465,4000,479.33
1002,470,438,2.88,2600,31.6888,2.901783512,465,4000,447.99
3005,472,439,2.87,2600,33.90622109,3.010347781,465,12000,1308.42
697,339,307,3.26,2080,31.3544,2.884901532,465,2000,240.16
706,339,306,3.27,2080,31.02,2.867938333,465,2000,261.33
700,338,306,3.27,2080,31.6008,2.89734869,465,2000,256.42
706,339,307,3.26,2080,31.02,2.867938333,465,2000,252.27
100,200,168,4.17,2100,24.665344,2.528219459,667,186,21.19
